Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
2025-04-24,2522.33,2,-3.23,-0.13,2525.34,2530.61,2507.21,327935351,7272322115520,2066148877318083.2
2025-04-25,2546.3,1,23.97,0.95,2544.59,2553.33,2534.94,403527737,8760600168638,2085721220951884.8
2025-04-28,2548.86,1,2.56,0.1,2551.23,2558.69,2541.97,454102177,7803354897543,2087208356086974.0
2025-04-29,2565.42,1,16.56,0.65,2550.25,2571.41,2542.25,547081468,9215174352275,2100881633409068.8
2025-04-30,2556.61,2,-8.81,-0.34,2561.04,2570.83,2544.46,487488833,8435602446234,2094129065499498.0
2025-05-02,2559.79,1,3.18,0.12,2556.52,2567.04,2540.57,585492284,8327449263431,2095822345518174.0
2025-05-07,2573.8,1,14.01,0.55,2577.04,2581.85,2559.17,546755132,8935449197459,2106864657755092.8
2025-05-08,2579.48,1,5.68,0.22,2581.27,2590.9,2575.78,471635814,10270131237563,2111359746379270.0
2025-05-09,2577.27,2,-2.21,-0.09,2587.93,2589.58,2571.2,485550305,8034852607528,2110382907460644.0
2025-05-12,2607.33,1,30.06,1.17,2593.94,2607.33,2585.6,409749435,8527539580051,2135960504101416.8
2025-05-13,2608.42,1,1.09,0.04,2601.76,2620.64,2601.58,422459803,8746089121686,2139365845830776.0
2025-05-14,2640.57,1,32.15,1.23,2625.36,2646.01,2619.15,390503815,8893191507759,2165384001366960.0
2025-05-15,2621.36,2,-19.21,-0.73,2634.5,2643.83,2618.08,339578793,7254024641690,2150748687253872.8
2025-05-16,2626.87,1,5.51,0.21,2630.64,2633.98,2619.1,359706542,8025031996677,2154435500387806.0
2025-05-19,2603.42,2,-23.45,-0.89,2613.7,2619.43,2593.44,313296021,6752438008652,2134853767220355.2
2025-05-20,2601.8,2,-1.62,-0.06,2622.68,2622.91,2598.1,456989355,7661430134210,2133507447170795.2
2025-05-21,2625.58,1,23.78,0.91,2615.9,2633.41,2614.73,371527419,7441128800151,2151605513502848.0
