Date,Open,High,Low,Close,Volume,Change
2024-10-25,172100,172900,167100,167800,627017,-2.5
2024-10-28,167800,170700,167800,170400,319943,1.55
2024-10-29,170400,171800,166700,169200,352478,-0.7
2024-10-30,170600,175300,170500,174400,716996,3.07
2024-10-31,172100,174800,169700,170000,485411,-2.52
2024-11-01,169000,170800,168500,169700,244187,-0.18
2024-11-04,170200,175900,170100,175700,697688,3.54
2024-11-05,174000,177100,173700,176500,346402,0.46
2024-11-06,176700,177400,174100,176300,432475,-0.11
2024-11-07,175900,179700,174600,179700,675120,1.93
2024-11-08,182600,182800,173700,174600,1233287,-2.84
2024-11-11,174600,177000,171500,176000,654961,0.8
2024-11-12,175700,182800,175700,181400,1708052,3.07
2024-11-13,181400,184100,179700,182200,1224589,0.44
2024-11-14,183800,190500,183000,188500,2172828,3.46
2024-11-15,190500,191900,188100,190000,1153043,0.8
2024-11-18,191000,191800,189300,190800,760104,0.42
2024-11-19,190300,194200,190200,193000,964416,1.15
2024-11-20,193500,194000,191300,193100,693589,0.05
2024-11-21,192600,192700,188900,189700,887174,-1.76
2024-11-22,189600,190800,187400,190000,759493,0.16
2024-11-25,190100,193200,187400,193200,2335917,1.68
2024-11-26,192200,196000,192200,195600,995917,1.24
2024-11-27,196800,205000,196200,203000,2305266,3.78
2024-11-28,204000,208000,202000,204500,1341153,0.74
2024-11-29,204500,209000,201500,206500,1243799,0.98
2024-12-02,208500,210500,203000,203500,1220401,-1.45
2024-12-03,207500,210000,204500,209000,1101247,2.7
2024-12-04,205000,209000,200500,202500,1758995,-3.11
2024-12-05,204500,208000,203000,204000,1438398,0.74
2024-12-06,204000,206000,197300,204500,1336764,0.25
2024-12-09,200500,204000,200500,201500,1206493,-1.47
2024-12-10,204500,209000,203000,209000,905766,3.72
2024-12-11,209000,218000,208500,218000,1547595,4.31
2024-12-12,219000,220000,206000,208000,2167932,-4.59
2024-12-13,209000,212000,205000,210000,1102386,0.96
2024-12-16,213500,218000,211500,214000,945545,1.9
2024-12-17,214500,215000,209000,209500,895923,-2.1
2024-12-18,209500,215000,209500,212500,663879,1.43
2024-12-19,208500,211500,207500,209500,640399,-1.41
2024-12-20,211000,213000,208500,210000,775746,0.24
2024-12-23,212500,213000,200000,201000,1169871,-4.29
2024-12-24,200500,204000,200500,202500,557658,0.75
2024-12-26,202500,203000,197000,199900,645976,-1.28
2024-12-27,198700,200500,195500,197700,689235,-1.1
2024-12-30,196800,201500,196400,198900,577293,0.61
2025-01-02,199500,202000,191700,193800,698458,-2.56
2025-01-03,193200,202000,193200,200500,798480,3.46
2025-01-06,200500,208500,200500,208500,770359,3.99
2025-01-07,210000,213000,207000,208000,603701,-0.24
2025-01-08,206500,210000,206000,207000,523637,-0.48
2025-01-09,208500,210000,201000,202500,777551,-2.17
2025-01-10,203000,204500,201000,202000,441863,-0.25
